Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production","3","Albanie","5532","Prix à la Production (USD/tonne)","497","Citrons et limes","2017","2017","7021","Valeur annuel","USD","1055","","Donnée officielle"
"PP","Prix à la Production","3","Albanie","5532","Prix à la Production (USD/tonne)","56","Maïs","2017","2017","7021","Valeur annuel","USD","279","","Donnée officielle"
"PP","Prix à la Production","3","Albanie","5532","Prix à la Production (USD/tonne)","490","Oranges","2017","2017","7021","Valeur annuel","USD","455","","Donnée officielle"
"PP","Prix à la Production","3","Albanie","5532","Prix à la Production (USD/tonne)","44","Orge","2017","2017","7021","Valeur annuel","USD","304","","Donnée officielle"
"PP","Prix à la Production","3","Albanie","5532","Prix à la Production (USD/tonne)","71","Seigle","2017","2017","7021","Valeur annuel","USD","500","","Donnée officielle"
"PP","Prix à la Production","3","Albanie","5532","Prix à la Production (USD/tonne)","495","Tangerines, mandarines, clémentines, satsumas","2017","2017","7021","Valeur annuel","USD","517","","Donnée officielle"
"PP","Prix à la Production","3","Albanie","5539","Indice des prix à la production (2014-2016 = 100)","75","Avoine","2017","2017","7021","Valeur annuel","","96","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","3","Albanie","5539","Indice des prix à la production (2014-2016 = 100)","497","Citrons et limes","2017","2017","7021","Valeur annuel","","160","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","3","Albanie","5539","Indice des prix à la production (2014-2016 = 100)","56","Maïs","2017","2017","7021","Valeur annuel","","90","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","3","Albanie","5539","Indice des prix à la production (2014-2016 = 100)","490","Oranges","2017","2017","7021","Valeur annuel","","109","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","3","Albanie","5539","Indice des prix à la production (2014-2016 = 100)","44","Orge","2017","2017","7021","Valeur annuel","","85","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","3","Albanie","5539","Indice des prix à la production (2014-2016 = 100)","71","Seigle","2017","2017","7021","Valeur annuel","","123","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","3","Albanie","5539","Indice des prix à la production (2014-2016 = 100)","83","Sorgho","2017","2017","7021","Valeur annuel","","91","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","3","Albanie","5539","Indice des prix à la production (2014-2016 = 100)","495","Tangerines, mandarines, clémentines, satsumas","2017","2017","7021","Valeur annuel","","103","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","3","Albanie","5539","Indice des prix à la production (2014-2016 = 100)","1804","Agrumes, total","2017","2017","7021","Valeur annuel","","112","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","3","Albanie","5539","Indice des prix à la production (2014-2016 = 100)","1814","Céréales Secondaires, tot","2017","2017","7021","Valeur annuel","","91","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","4","Algérie","5530","Prix à la Production (LCU/tonne)","75","Avoine","2017","2017","7021","Valeur annuel","LCU","16000","","Donnée officielle"
"PP","Prix à la Production","4","Algérie","5530","Prix à la Production (LCU/tonne)","497","Citrons et limes","2017","2017","7021","Valeur annuel","LCU","174000","","Donnée officielle"
"PP","Prix à la Production","4","Algérie","5530","Prix à la Production (LCU/tonne)","490","Oranges","2017","2017","7021","Valeur annuel","LCU","124000","","Donnée officielle"
"PP","Prix à la Production","4","Algérie","5530","Prix à la Production (LCU/tonne)","44","Orge","2017","2017","7021","Valeur annuel","LCU","25000","","Donnée officielle"
"PP","Prix à la Production","4","Algérie","5530","Prix à la Production (LCU/tonne)","495","Tangerines, mandarines, clémentines, satsumas","2017","2017","7021","Valeur annuel","LCU","123000","","Donnée officielle"
"PP","Prix à la Production","4","Algérie","5531","Prix à la Production (SLC/tonne)","75","Avoine","2017","2017","7021","Valeur annuel","SLC","16000","","Donnée officielle"
"PP","Prix à la Production","4","Algérie","5531","Prix à la Production (SLC/tonne)","497","Citrons et limes","2017","2017","7021","Valeur annuel","SLC","174000","","Donnée officielle"
"PP","Prix à la Production","4","Algérie","5531","Prix à la Production (SLC/tonne)","490","Oranges","2017","2017","7021","Valeur annuel","SLC","124000","","Donnée officielle"
"PP","Prix à la Production","4","Algérie","5531","Prix à la Production (SLC/tonne)","44","Orge","2017","2017","7021","Valeur annuel","SLC","25000","","Donnée officielle"
"PP","Prix à la Production","4","Algérie","5531","Prix à la Production (SLC/tonne)","495","Tangerines, mandarines, clémentines, satsumas","2017","2017","7021","Valeur annuel","SLC","123000","","Donnée officielle"
"PP","Prix à la Production","4","Algérie","5532","Prix à la Production (USD/tonne)","75","Avoine","2017","2017","7021","Valeur annuel","USD","144","","Donnée officielle"
"PP","Prix à la Production","4","Algérie","5532","Prix à la Production (USD/tonne)","497","Citrons et limes","2017","2017","7021","Valeur annuel","USD","1568","","Donnée officielle"
"PP","Prix à la Production","4","Algérie","5532","Prix à la Production (USD/tonne)","490","Oranges","2017","2017","7021","Valeur annuel","USD","1117","","Donnée officielle"
"PP","Prix à la Production","4","Algérie","5532","Prix à la Production (USD/tonne)","44","Orge","2017","2017","7021","Valeur annuel","USD","225","","Donnée officielle"
"PP","Prix à la Production","4","Algérie","5532","Prix à la Production (USD/tonne)","495","Tangerines, mandarines, clémentines, satsumas","2017","2017","7021","Valeur annuel","USD","1108","","Donnée officielle"
"PP","Prix à la Production","4","Algérie","5539","Indice des prix à la production (2014-2016 = 100)","75","Avoine","2017","2017","7021","Valeur annuel","","100","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","4","Algérie","5539","Indice des prix à la production (2014-2016 = 100)","497","Citrons et limes","2017","2017","7021","Valeur annuel","","147","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","4","Algérie","5539","Indice des prix à la production (2014-2016 = 100)","512","Fruits, agrumes nda","2017","2017","7021","Valeur annuel","","99","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","4","Algérie","5539","Indice des prix à la production (2014-2016 = 100)","56","Maïs","2017","2017","7021","Valeur annuel","","95","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","4","Algérie","5539","Indice des prix à la production (2014-2016 = 100)","490","Oranges","2017","2017","7021","Valeur annuel","","115","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","4","Algérie","5539","Indice des prix à la production (2014-2016 = 100)","44","Orge","2017","2017","7021","Valeur annuel","","100","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","4","Algérie","5539","Indice des prix à la production (2014-2016 = 100)","507","Pamplemousses et pomelos","2017","2017","7021","Valeur annuel","","95","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","4","Algérie","5539","Indice des prix à la production (2014-2016 = 100)","83","Sorgho","2017","2017","7021","Valeur annuel","","95","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","4","Algérie","5539","Indice des prix à la production (2014-2016 = 100)","495","Tangerines, mandarines, clémentines, satsumas","2017","2017","7021","Valeur annuel","","108","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","4","Algérie","5539","Indice des prix à la production (2014-2016 = 100)","97","Triticale","2017","2017","7021","Valeur annuel","","95","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","4","Algérie","5539","Indice des prix à la production (2014-2016 = 100)","1804","Agrumes, total","2017","2017","7021","Valeur annuel","","116","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","4","Algérie","5539","Indice des prix à la production (2014-2016 = 100)","1814","Céréales Secondaires, tot","2017","2017","7021","Valeur annuel","","100","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","79","Allemagne","5530","Prix à la Production (LCU/tonne)","75","Avoine","2017","2017","7021","Valeur annuel","LCU","143","","Donnée officielle"
"PP","Prix à la Production","79","Allemagne","5530","Prix à la Production (LCU/tonne)","56","Maïs","2017","2017","7021","Valeur annuel","LCU","157","","Donnée officielle"
"PP","Prix à la Production","79","Allemagne","5530","Prix à la Production (LCU/tonne)","44","Orge","2017","2017","7021","Valeur annuel","LCU","136","","Donnée officielle"
"PP","Prix à la Production","79","Allemagne","5530","Prix à la Production (LCU/tonne)","71","Seigle","2017","2017","7021","Valeur annuel","LCU","140","","Donnée officielle"
"PP","Prix à la Production","79","Allemagne","5530","Prix à la Production (LCU/tonne)","97","Triticale","2017","2017","7021","Valeur annuel","LCU","141","","Donnée officielle"
"PP","Prix à la Production","79","Allemagne","5531","Prix à la Production (SLC/tonne)","75","Avoine","2017","2017","7021","Valeur annuel","SLC","143","","Donnée officielle"
"PP","Prix à la Production","79","Allemagne","5531","Prix à la Production (SLC/tonne)","56","Maïs","2017","2017","7021","Valeur annuel","SLC","157","","Donnée officielle"
"PP","Prix à la Production","79","Allemagne","5531","Prix à la Production (SLC/tonne)","44","Orge","2017","2017","7021","Valeur annuel","SLC","136","","Donnée officielle"
"PP","Prix à la Production","79","Allemagne","5531","Prix à la Production (SLC/tonne)","71","Seigle","2017","2017","7021","Valeur annuel","SLC","140","","Donnée officielle"
"PP","Prix à la Production","79","Allemagne","5531","Prix à la Production (SLC/tonne)","97","Triticale","2017","2017","7021","Valeur annuel","SLC","141","","Donnée officielle"
"PP","Prix à la Production","79","Allemagne","5532","Prix à la Production (USD/tonne)","75","Avoine","2017","2017","7021","Valeur annuel","USD","161","","Donnée officielle"
"PP","Prix à la Production","79","Allemagne","5532","Prix à la Production (USD/tonne)","56","Maïs","2017","2017","7021","Valeur annuel","USD","177","","Donnée officielle"
"PP","Prix à la Production","79","Allemagne","5532","Prix à la Production (USD/tonne)","44","Orge","2017","2017","7021","Valeur annuel","USD","154","","Donnée officielle"
"PP","Prix à la Production","79","Allemagne","5532","Prix à la Production (USD/tonne)","71","Seigle","2017","2017","7021","Valeur annuel","USD","158","","Donnée officielle"
"PP","Prix à la Production","79","Allemagne","5532","Prix à la Production (USD/tonne)","97","Triticale","2017","2017","7021","Valeur annuel","USD","159","","Donnée officielle"
"PP","Prix à la Production","79","Allemagne","5539","Indice des prix à la production (2014-2016 = 100)","75","Avoine","2017","2017","7021","Valeur annuel","","97","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","79","Allemagne","5539","Indice des prix à la production (2014-2016 = 100)","103","Céréales mélangées","2017","2017","7021","Valeur annuel","","98","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","79","Allemagne","5539","Indice des prix à la production (2014-2016 = 100)","56","Maïs","2017","2017","7021","Valeur annuel","","99","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","79","Allemagne","5539","Indice des prix à la production (2014-2016 = 100)","44","Orge","2017","2017","7021","Valeur annuel","","96","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","79","Allemagne","5539","Indice des prix à la production (2014-2016 = 100)","71","Seigle","2017","2017","7021","Valeur annuel","","111","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","79","Allemagne","5539","Indice des prix à la production (2014-2016 = 100)","97","Triticale","2017","2017","7021","Valeur annuel","","100","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","79","Allemagne","5539","Indice des prix à la production (2014-2016 = 100)","1814","Céréales Secondaires, tot","2017","2017","7021","Valeur annuel","","100","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","7","Angola","5539","Indice des prix à la production (2014-2016 = 100)","497","Citrons et limes","2017","2017","7021","Valeur annuel","","133","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","7","Angola","5539","Indice des prix à la production (2014-2016 = 100)","56","Maïs","2017","2017","7021","Valeur annuel","","133","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","7","Angola","5539","Indice des prix à la production (2014-2016 = 100)","79","Mils","2017","2017","7021","Valeur annuel","","133","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","7","Angola","5539","Indice des prix à la production (2014-2016 = 100)","83","Sorgho","2017","2017","7021","Valeur annuel","","133","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","7","Angola","5539","Indice des prix à la production (2014-2016 = 100)","1814","Céréales Secondaires, tot","2017","2017","7021","Valeur annuel","","133","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","8","Antigua-et-Barbuda","5539","Indice des prix à la production (2014-2016 = 100)","497","Citrons et limes","2017","2017","7021","Valeur annuel","","175","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","8","Antigua-et-Barbuda","5539","Indice des prix à la production (2014-2016 = 100)","1804","Agrumes, total","2017","2017","7021","Valeur annuel","","175","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","194","Arabie saoudite","5530","Prix à la Production (LCU/tonne)","497","Citrons et limes","2017","2017","7021","Valeur annuel","LCU","3800","","Donnée officielle"
"PP","Prix à la Production","194","Arabie saoudite","5530","Prix à la Production (LCU/tonne)","490","Oranges","2017","2017","7021","Valeur annuel","LCU","3210","","Donnée officielle"
"PP","Prix à la Production","194","Arabie saoudite","5531","Prix à la Production (SLC/tonne)","497","Citrons et limes","2017","2017","7021","Valeur annuel","SLC","3800","","Donnée officielle"
"PP","Prix à la Production","194","Arabie saoudite","5531","Prix à la Production (SLC/tonne)","490","Oranges","2017","2017","7021","Valeur annuel","SLC","3210","","Donnée officielle"
"PP","Prix à la Production","194","Arabie saoudite","5532","Prix à la Production (USD/tonne)","497","Citrons et limes","2017","2017","7021","Valeur annuel","USD","1013","","Donnée officielle"
"PP","Prix à la Production","194","Arabie saoudite","5532","Prix à la Production (USD/tonne)","490","Oranges","2017","2017","7021","Valeur annuel","USD","856","","Donnée officielle"
"PP","Prix à la Production","194","Arabie saoudite","5539","Indice des prix à la production (2014-2016 = 100)","497","Citrons et limes","2017","2017","7021","Valeur annuel","","100","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","194","Arabie saoudite","5539","Indice des prix à la production (2014-2016 = 100)","512","Fruits, agrumes nda","2017","2017","7021","Valeur annuel","","101","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","194","Arabie saoudite","5539","Indice des prix à la production (2014-2016 = 100)","56","Maïs","2017","2017","7021","Valeur annuel","","105","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","194","Arabie saoudite","5539","Indice des prix à la production (2014-2016 = 100)","79","Mils","2017","2017","7021","Valeur annuel","","105","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","194","Arabie saoudite","5539","Indice des prix à la production (2014-2016 = 100)","490","Oranges","2017","2017","7021","Valeur annuel","","101","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","194","Arabie saoudite","5539","Indice des prix à la production (2014-2016 = 100)","44","Orge","2017","2017","7021","Valeur annuel","","105","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","194","Arabie saoudite","5539","Indice des prix à la production (2014-2016 = 100)","83","Sorgho","2017","2017","7021","Valeur annuel","","105","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","194","Arabie saoudite","5539","Indice des prix à la production (2014-2016 = 100)","1804","Agrumes, total","2017","2017","7021","Valeur annuel","","101","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","194","Arabie saoudite","5539","Indice des prix à la production (2014-2016 = 100)","1814","Céréales Secondaires, tot","2017","2017","7021","Valeur annuel","","105","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","9","Argentine","5539","Indice des prix à la production (2014-2016 = 100)","101","Alpiste","2017","2017","7021","Valeur annuel","","97","Im","Données de la FAO basées sur une méthodologie d'imputation"
